
DATE,CITY,Around Town,Art,Eating & Drinking,Film,Music,Nightlife,Stage,PROVIDED,NEW,EXISTING
2010-06-17,Almaty,6,2,0,0,0,4,22,34,34,0
2010-06-17,Chicago,393,82,0,38,83,95,188,879,879,0
2010-06-17,Kuala_lumpur,10,2,0,1,4,0,2,19,19,0
2010-06-17,Lisbon,32,3,0,0,12,0,12,59,59,0
2010-06-17,London,415,120,0,0,222,99,376,1232,1232,0
2010-06-17,Moscow,121,20,0,0,436,75,482,1134,1134,0
2010-06-17,Ny,259,51,1,1,34,36,143,525,525,0
2010-06-17,Saint_petersburg,26,33,0,0,194,53,204,510,510,0
2010-06-17,Singapore,6,6,0,2,8,0,3,25,25,0
2010-06-17,Sydney,1,1,0,0,7,0,1,10,10,0
2010-06-18,Almaty,0,0,0,0,0,0,0,32,0,34
2010-06-18,Chicago,0,0,0,0,4,0,0,858,4,879
2010-06-18,Kuala_lumpur,0,0,0,0,0,0,0,17,0,19
2010-06-18,Lisbon,0,0,0,0,0,0,0,58,0,59
2010-06-18,London,4,9,0,0,2,2,6,1232,23,1232
2010-06-18,Moscow,40,70,0,0,264,16,124,1578,514,1134
2010-06-18,Ny,0,0,0,0,0,0,0,522,0,525
2010-06-18,Saint_petersburg,3,20,0,5,126,49,34,710,237,510
2010-06-18,Singapore,0,0,0,0,0,0,0,23,0,25
2010-06-18,Sydney,0,0,0,0,0,0,0,10,0,10
2010-06-19,Almaty,0,0,0,0,0,0,0,27,0,34
2010-06-19,Chicago,1,6,0,0,2,1,2,843,12,883
2010-06-19,Kuala_lumpur,0,0,0,0,0,0,0,14,0,19
2010-06-19,Lisbon,0,0,0,0,0,0,0,55,0,59
2010-06-19,London,0,1,0,0,1,1,29,1250,32,1255
2010-06-19,Moscow,5,1,0,0,38,3,2,1530,49,1648
2010-06-19,Ny,0,0,0,0,0,0,0,519,0,525
2010-06-19,Saint_petersburg,0,1,0,0,0,1,0,655,2,747
2010-06-19,Singapore,0,0,0,0,0,0,0,20,0,25
2010-06-19,Sydney,0,0,0,0,0,0,0,8,0,10
2010-06-20,Almaty,0,0,0,0,0,0,0,24,0,34
2010-06-20,Chicago,1,0,0,0,0,1,3,803,5,895
2010-06-20,Kuala_lumpur,0,0,0,0,0,0,0,13,0,19
2010-06-20,Lisbon,0,0,0,0,0,0,0,49,0,59
2010-06-20,London,2,8,0,0,0,1,22,1239,33,1287
2010-06-20,Moscow,0,0,0,0,0,0,0,1417,0,1697
2010-06-20,Ny,0,0,0,0,0,0,0,511,0,525
2010-06-20,Saint_petersburg,0,0,0,0,21,0,9,643,30,749
2010-06-20,Singapore,0,0,0,0,0,0,0,19,0,25
2010-06-20,Sydney,0,0,0,0,0,0,0,7,0,10
2010-06-21,Almaty,0,0,0,0,0,0,0,20,0,34
2010-06-21,Chicago,8,0,0,7,0,2,0,784,17,900
2010-06-21,Kuala_lumpur,0,0,0,0,0,0,0,13,0,19
2010-06-21,Lisbon,0,0,0,0,0,0,0,47,0,59
2010-06-21,London,10,0,0,0,10,0,7,1230,27,1320
2010-06-21,Moscow,0,0,0,0,0,0,0,1347,0,1697
2010-06-21,Ny,0,0,0,0,0,0,0,505,0,525
2010-06-21,Saint_petersburg,0,0,0,1,1,4,0,613,6,779
2010-06-21,Singapore,0,0,0,0,0,0,0,19,0,25
2010-06-21,Sydney,0,0,0,0,0,0,0,7,0,10
2010-06-22,Almaty,0,0,0,0,0,0,0,19,0,34
2010-06-22,Chicago,0,0,0,0,0,0,0,771,0,917
2010-06-22,Kuala_lumpur,0,0,0,0,0,0,0,13,0,19
2010-06-22,Lisbon,0,0,0,0,0,0,0,47,0,59
2010-06-22,London,0,0,0,0,1,0,20,1237,21,1347
2010-06-22,Moscow,2,0,0,0,76,9,1,1410,88,1697
2010-06-22,Ny,0,0,0,0,0,0,0,504,0,525
2010-06-22,Saint_petersburg,0,0,0,0,17,27,0,637,44,785
2010-06-22,Singapore,0,0,0,0,0,0,0,19,0,25
2010-06-22,Sydney,0,0,0,0,0,0,0,7,0,10
2010-06-24,Almaty,0,0,0,0,0,0,0,15,0,34
2010-06-24,Barcelona,273,59,0,0,34,81,0,447,447,0
2010-06-24,Chicago,5,0,0,0,28,8,4,788,45,917
2010-06-24,Kuala_lumpur,0,0,0,0,0,0,0,12,0,19
2010-06-24,Lisbon,0,0,0,0,0,0,0,44,0,59
2010-06-24,London,0,0,0,0,0,0,0,1209,0,1368
2010-06-24,Moscow,0,0,0,0,0,0,0,1313,0,1785
2010-06-24,Ny,0,0,0,0,0,0,0,504,0,525
2010-06-24,Saint_petersburg,0,0,0,0,0,0,0,574,0,829
2010-06-24,Singapore,0,0,0,0,0,0,0,16,0,25
2010-06-24,Sydney,0,0,0,0,0,0,0,6,0,10
2010-06-25,Almaty,0,0,0,0,0,0,0,13,0,34
2010-06-25,Barcelona,23,5,0,0,37,37,0,392,102,447
2010-06-25,Chicago,4,3,0,3,21,1,5,795,37,962
2010-06-25,Kuala_lumpur,0,0,0,0,0,0,0,12,0,19
2010-06-25,Lisbon,4,0,0,0,0,0,1,29,5,59
2010-06-25,London,0,0,0,0,0,0,1,1172,1,1368
2010-06-25,Moscow,12,34,0,0,54,47,67,1458,214,1785
2010-06-25,Ny,0,0,0,0,0,0,0,504,0,525
2010-06-25,Saint_petersburg,3,14,0,1,85,18,84,760,205,829
2010-06-25,Singapore,0,0,0,0,0,0,0,14,0,25
2010-06-25,Sydney,0,0,0,0,0,0,0,6,0,10
2010-06-26,Almaty,0,0,0,0,0,0,0,11,0,34
2010-06-26,Barcelona,0,0,0,0,3,0,0,364,3,549
2010-06-26,Chicago,3,7,0,2,3,0,2,781,17,999
2010-06-26,Kuala_lumpur,0,0,0,0,0,0,0,10,0,19
2010-06-26,Lisbon,0,0,0,0,0,0,0,27,0,64
2010-06-26,London,30,1,0,0,13,6,14,1213,64,1369
2010-06-26,Moscow,29,12,0,0,102,1,0,1515,144,1999
2010-06-26,Ny,0,0,0,0,0,0,0,502,0,525
2010-06-26,Saint_petersburg,0,0,0,0,5,1,0,632,6,1034
2010-06-26,Singapore,0,0,0,0,0,0,0,11,0,25
2010-06-26,Sydney,0,0,0,0,0,0,0,4,0,10
2010-06-27,Almaty,0,0,0,0,0,0,0,8,0,34
2010-06-27,Barcelona,0,0,0,0,0,0,0,328,0,552
2010-06-27,Chicago,0,0,0,0,0,0,0,722,0,1016
2010-06-27,Kuala_lumpur,0,0,0,0,0,0,0,8,0,19
2010-06-27,Lisbon,0,0,0,0,0,0,0,21,0,64
2010-06-27,London,26,1,0,0,2,1,22,1219,52,1433
2010-06-27,Moscow,0,0,0,0,0,0,0,1413,0,2143
2010-06-27,Ny,0,0,0,0,0,0,0,492,0,525
2010-06-27,Saint_petersburg,0,0,0,0,1,0,0,664,1,1040
2010-06-27,Singapore,1,0,0,0,0,0,0,12,1,25
2010-06-27,Sydney,0,0,0,0,0,0,0,4,0,10
2010-06-28,Almaty,0,0,0,0,0,0,0,4,0,34
2010-06-28,Barcelona,0,0,0,0,0,0,0,299,0,552
2010-06-28,Chicago,0,0,0,0,0,0,0,676,0,1016
2010-06-28,Kuala_lumpur,0,0,0,0,0,0,0,7,0,19
2010-06-28,Lisbon,0,0,0,0,0,0,0,21,0,64
2010-06-28,London,4,0,0,0,16,1,5,1211,26,1485
2010-06-28,Moscow,0,0,0,0,0,0,0,1345,0,2143
2010-06-28,Ny,0,0,0,0,0,0,0,489,0,525
2010-06-28,Saint_petersburg,0,1,0,0,48,6,0,678,55,1041
2010-06-28,Singapore,0,0,0,0,0,0,0,11,0,26
2010-06-28,Sydney,0,0,0,0,0,0,0,4,0,10
2010-06-29,Almaty,0,0,0,0,0,0,0,0,0,34
2010-06-29,Barcelona,27,4,0,0,18,1,0,356,50,552
