"","","","","","","A dark room. A long wooden bar. A couple of middle-aged guys playing video trivia in the corner. A staff who couldn't care less. Who would guess there'd be lines around the corner to get in here come 2am? Guess that's what a 4am license gets ya.","","","","","","","","","","","","","","","","","","","Chicago, IL","","","","","","","","","","","","","","","","","","Lincoln Park","H","","","","","","","","","","","","","","","Mon&#8211;Thu 4pm&#8211;4am; Fri 3pm&#8211;4am; Sat 11am&#8211;5am; Sun 11am&#8211;4am","","","","","","","","","","","","","","","","1003","","","","","","","","","","","","","","","","2002 N Halsted St","The Store","","","","","","","","","","","","","","","","","773-327-7766","","","","","","","","","","","","","","","Lincoln Park","Average beer: $4","","","","","","","","","","","","","","","","Pick-up joints","","El: Brown, Purple (rush hrs) to Armitage. Bus: 8, 11, 73","","S","H","","The Store A dark room. A long wooden bar. A couple of middle-aged guys playing video trivia in the corner. A staff who couldn't care less. Who would guess there'd be lines around the corner to get in here come 2am? Guess that's what a 4am license gets ya. 2002 N Halsted St between Armitage and Dickens Aves (773-327-7766). El: Brown, Purple (rush hrs) to Armitage. Bus: 8, 11, 73. Mon&#8211;Thu 4pm&#8211;4am; Fri 3pm&#8211;4am; Sat 11am&#8211;5am; Sun 11am&#8211;4am. Average beer: $4.","","","","","","","","","","","","","","","","","","","60614","","","","","","","","","","","","","","","","","","Store","No stairs to bathroomWheelchair-accessible bathroomLate NightPrivate party room(s)Video/pinball games","","","","","","","","","","","","","","","","","","www.thestoretil4.com"
"","","","","","","Quite possibly the straightest bar in Andersonville, this place gets packed on the weekends with breeders who stop by to drink Goose Island 312, shoot pool, watch some sports, and, sometimes, get drunk by themselves near the patio doors and yell things at passersby.","","","","","","","","","","","","","","","","","","","Chicago, IL","","","","","","","","","","","","","","","","","","Andersonville/Edgewater/Uptown","C","","","","","","","","","","","","","","","Sun&#8211;Fri 3pm&#8211;2am; Sat 3pm&#8211;3am","","","","","","","","","","","","","","","","1006","","","","","","","","","","","","","","","","5240 N Clark St","Farragut's","","","","","","","","","","","","","","","","","773-728-4903","","","","","","","","","","","","","","","Andersonville/Edgewater/Uptown","Average beer: $3","","","","","","","","","","","","","","","","Neighborhood pubs","","Bus: 22, 50, 92","","F","C","","Farragut's Quite possibly the straightest bar in Andersonville, this place gets packed on the weekends with breeders who stop by to drink Goose Island 312, shoot pool, watch some sports, and, sometimes, get drunk by themselves near the patio doors and yell things at passersby. 5240 N Clark St between Farragut and Berwyn Aves (773-728-4903). Bus: 22, 50, 92. Sun&#8211;Fri 3pm&#8211;2am; Sat 3pm&#8211;3am. Average beer: $3.","","","","","","","","","","","","","","","","","","","60640","","","","","","","","","","","","","","","","","","Farragut's","Pool tableVideo/pinball games","","","","","","","","","","","","","","","","","",""
"","","","","","","This bilevel Wrigleyville joint draws a strange crowd: a mix of ball-capped football fans paying full attention to the wall-size TV behind the bar and aspiring improv comics from nearby I.O. who love to rehash favorite bits and revel in their ironic choice of destination. No group pays any heed to the other, particularly when the orders of Tater Tots arrive.","","","","","","","","","","","","","","","","","","","Chicago, IL","","","","","","","","","","","","","","","","","","Lakeview/Roscoe Village/Wrigleyville","E","","","","","","","","","","","","","","","Mon&#8211;Wed 5pm&#8211;2am; Thu, Fri, Sun 11am&#8211;2am; Sat 11am&#8211;3am","","","","","","","","","","","","","","","","1009","","","","","","","","","","","","","","","","3527 N Clark St","Mullen's on Clark","","","","","","","","","","","","","","","","","773-325-2319","","","","","","","","","","","","","","","Lakeview/Roscoe Village/Wrigleyville","Average beer: $4","","","","","","","","","","","","","","","","Neighborhood pubs","","El: Red to Addison. Bus: 8, 22, 77, 152","","M","E","","Mullen's on Clark This bilevel Wrigleyville joint draws a strange crowd: a mix of ball-capped football fans paying full attention to the wall-size TV behind the bar and aspiring improv comics from nearby I.O. who love to rehash favorite bits and revel in their ironic choice of destination. No group pays any heed to the other, particularly when the orders of Tater Tots arrive. 3527 N Clark St between Cornelia Ave and Eddy St (773-325-2319). El: Red to Addison. Bus: 8, 22, 77, 152. Mon&#8211;Wed 5pm&#8211;2am; Thu, Fri, Sun 11am&#8211;2am; Sat 11am&#8211;3am. Average beer: $4.","","","","","","","","","","","","","","","","","","","60657","","","","","","","","","","","","","","","","","","Mullen's on Clark","No steps at entranceGood for groupsDartsNo stairs to bathroomSports barOutdoor seatingFood servedVideo/pinball gamesPrivate party room(s)","","","","","","","","","","","","","","","","","",""
"","","","","","","This Rogers Park corner bar is a lesson in&#8212;well&#8212;a neighborhood corner bar: sports on the TVs, cold beer on tap and a bunch of dudes flapping their jaws about their favorite teams. For those allergic to sports, picture windows look out over the street, and we have to admit that watching traffic and sipping a beer isn't a bad way to spend a Sunday afternoon.","","","","","","","","","","","","","","","","","","","Chicago, IL","","","","","","","","","","","","","","","","","","Far North Side","B","","","","","","","","","","","","","","","Sun&#8211;Fri noon&#8211;2am; Sat noon&#8211;3am","","","","","","","","","","","","","","","","1018","","","","","","","","","","","","","","","","7126 N Ridge Blvd","Lamp Post Tavern","","","","","","","","","","","","","","","","","773-465-9571","","","","","","","","","","","","","","","Far North Side","Average beer: $4","","","","","","","","","","","","","","","","Neighborhood pubs","","Bus: 49B, Pace 290","","L","B","","Lamp Post Tavern This Rogers Park corner bar is a lesson in&#8212;well&#8212;a neighborhood corner bar: sports on the TVs, cold beer on tap and a bunch of dudes flapping their jaws about their favorite teams. For those allergic to sports, picture windows look out over the street, and we have to admit that watching traffic and sipping a beer isn't a bad way to spend a Sunday afternoon. 7126 N Ridge Blvd at Touhy Ave (773-465-9571). Bus: 49B, Pace 290. Sun&#8211;Fri noon&#8211;2am; Sat noon&#8211;3am. Average beer: $4.","","","","","","","","","","","","","","","","","","","60645-3504","","","","","","","","","","","","","","","","","","Lamp Post Tavern","","","","","","","","","","","","","","","","","","",""
"","","","","","","DePaul students, hospital staff and neighborhood urban professionals alike belly up at this combo spot. Decent bar food, foosball, pool and darts dominate downstairs at the Lion Head, where it's impossible not to find yourself facing one of the two dozen plasma and big-screen TVs. Upstairs, the Apartment sports a corny (yet comfy) club atmosphere with its beds, couches and recliners, which get plenty of use on weekends when the place is packed assholes-to-elbows with singles.","","","","","","","","","","","","","","","","","","","Chicago, IL","","","","","","","","","","","","","","","","","","Lakeview/Roscoe Village/Wrigleyville","E","","","","","","","","","","","","","","","Sun&#8211;Fri 3pm&#8211;2am; Sat 3pm&#8211;3am","","","","","","","","","","","","","","","","1028","","","","","","","","","","","","","","","","2251 N Lincoln Ave ","Lion Head Pub and the Apartment","","","","","","","","","","","","","","","","","773-348-5100","","","","","","","","","","","","","","","Lakeview/Roscoe Village/Wrigleyville","Average beer: $5","","","","","","","","","","","","","","","","Pick-up joints","","El: Brown, Purple (rush hrs), Red to Fullerton. Bus: 8, 11, 74","","L","E","","Lion Head Pub and the Apartment DePaul students, hospital staff and neighborhood urban professionals alike belly up at this combo spot. Decent bar food, foosball, pool and darts dominate downstairs at the Lion Head, where it's impossible not to find yourself facing one of the two dozen plasma and big-screen TVs. Upstairs, the Apartment sports a corny (yet comfy) club atmosphere with its beds, couches and recliners, which get plenty of use on weekends when the place is packed assholes-to-elbows with singles. 2251 N Lincoln Ave between Webster and Belden Aves (773-348-5100). El: Brown, Purple (rush hrs), Red to Fullerton. Bus: 8, 11, 74. Sun&#8211;Fri 3pm&#8211;2am; Sat 3pm&#8211;3am. Average beer: $5.","","","","","","","","","","","","","","","","","","","60614-3717 ","","","","","","","","","","","","","","","","","","Lion Head Pub and the Apartment","No stairs to bathroomNo steps at entrancePool tableDartsGood for groupsFireplaceFood servedSports bar","","","","","","","","","","","","","","","","","",""
"","","","","","","We heard rumors that this late-night hookup haven gets packed with sweaty grinders around 1am, so we settled on a more mellow afternoon drink instead. Which turned out to be just fine. The chatty bartender helped us pick from the dozen beers on tap, the pool table was open and despite our best efforts, nobody hit on us. Once area bars close down, however, it's a seedier story.","","","","","","","","","","","","","","","","","","","Chicago, IL","","","","","","","","","","","","","","","","","","Lakeview/Roscoe Village/Wrigleyville","E","","","","","","","","","","","","","","","Sun&#8211;Fri 7pm&#8211;4am; Sat 8pm&#8211;5am","","","","","","","","","","","","","","","","1047","","","","","","","","","","","","","","","","3611 N Ashland Ave","Tai's Til 4","","","","","","","","","","","","","","","","","773-348-8923","","","","","","","","","","","","","","","Lakeview/Roscoe Village/Wrigleyville","Average beer: $4","","","","","","","","","","","","","","","","Pick-up joints","","Bus: 9, 152","","T","E","","Tai's Til 4 We heard rumors that this late-night hookup haven gets packed with sweaty grinders around 1am, so we settled on a more mellow afternoon drink instead. Which turned out to be just fine. The chatty bartender helped us pick from the dozen beers on tap, the pool table was open and despite our best efforts, nobody hit on us. Once area bars close down, however, it's a seedier story. 3611 N Ashland Ave between Addison St and Waveland Ave (773-348-8923). Bus: 9, 152. Sun&#8211;Fri 7pm&#8211;4am; Sat 8pm&#8211;5am. Average beer: $4.","","","","","","","","","","","","","","","","","","","60613-3617 ","","","","","","","","","","","","","","","","","","Tai's Til 4","Late NightPool table","","","","","","","","","","","","","","","","","",""
"","","","","","","Nestled on a tree-lined street in Lincoln Park, this watering hole is the epitome of neighborly drinking. A friendly bartender will chat you up and introduce you to the locals as he mixes your Hendrick's and tonic. Ask about beer and you might just get schooled, and you'll definitely get something tossed your way that's better than that MGD you almost ordered.","","","","","","","","","","","","","","","","","","","Chicago, IL","","","","","","","","","","","","","","","","","","Lincoln Park","H","","","","","","","","","","","","","","","Sun&#8211;Fri 11am&#8211;2am; Sat 11am&#8211;3am","","","","","","","","","","","","","","","","1051","","","","","","","","","","","","","","","","1102 W Webster Ave","Local Option","","","","","","","","","","","","","","","","","773-348-2008","","","","","","","","","","","","","","","Lincoln Park","Average beer: $5","","","","","","","","","","","","","","","","Neighborhood pubs","","El: Brown, Purple (rush hrs), Red to Fullerton. Bus: 73 Armitage, 74 Fullerton","","L","H","","Local Option Nestled on a tree-lined street in Lincoln Park, this watering hole is the epitome of neighborly drinking. A friendly bartender will chat you up and introduce you to the locals as he mixes your Hendrick's and tonic. Ask about beer and you might just get schooled, and you'll definitely get something tossed your way that's better than that MGD you almost ordered. 1102 W Webster Ave between Seminary and Clifton Aves (773-348-2008). El: Brown, Purple (rush hrs), Red to Fullerton. Bus: 73 Armitage, 74 Fullerton. Sun&#8211;Fri 11am&#8211;2am; Sat 11am&#8211;3am. Average beer: $5.","","","","","","","","","","","","","","","","","","","60614","","","","","","","","","","","","","","","","","","Local Option","Video/pinball gamesNo steps at entranceNo stairs to bathroomWheelchair-accessible bathroomFood servedExtensive beer selection","","","","","","","","","","","","","","","","","",""
"","","","","","","Sometimes one of those grumpy old-timers takes a seat among the younger Lincoln Park buttoned-down crowd here. But once the geezers settle into plush leather booths, or the year-round beer garden, and chat with the impeccable bartender and sip a beer, even they can't stay in a bad mood.","","","","","","","","","","","","","","","","","","","Chicago, IL","","","","","","","","","","","","","","","","","","Lincoln Park","H","","","","","","","","","","","","","","","Mon 4pm&#8211;10pm; Wed, Thu 4pm&#8211;midnight; Fri 4pm&#8211;2am; Sat 10am&#8211;2am; Sun 10am&#8211;midnight (closed Tue)","","","","","","","","","","","","","","","","1052","","","","","","","","","","","","","","","","1224 W Webster Ave","Charlie's on Webster","","","","","","","","","","","","","","","","","773-871-1440","","","","","","","","","","","","","","","Lincoln Park","Average beer: $4","","","","","","","","","","","","","","","","Neighborhood pubs","","El: Brown, Purple (rush hrs), Red to Fullerton. Bus: 73 Armitage, 74 Fullerton","","C","H","","Charlie's on Webster Sometimes one of those grumpy old-timers takes a seat among the younger Lincoln Park buttoned-down crowd here. But once the geezers settle into plush leather booths, or the year-round beer garden, and chat with the impeccable bartender and sip a beer, even they can't stay in a bad mood. 1224 W Webster Ave at Magnolia Ave (773-871-1440). El: Brown, Purple (rush hrs), Red to Fullerton. Bus: 73 Armitage, 74 Fullerton. Mon 4pm&#8211;10pm; Wed, Thu 4pm&#8211;midnight; Fri 4pm&#8211;2am; Sat 10am&#8211;2am; Sun 10am&#8211;midnight (closed Tue). Average beer: $4.","","","","","","","","","","","","","","","","","","","60614","","","","","","","","","","","","","","","","","","Charlie's on Webster","DartsNo stairs to bathroomOutdoor seatingFood servedPool tableExtensive beer selection","","","","","","","","","","","","","","","","","",""
"","","","","","","This bar sits high above Michigan Ave, just north of the fountain in the 12th floor atrium lobby of the Ritz-Carlton. And as could be expected from a bar inside one of the city's most luxurious hotels, this place is swanksville. Chairs upholstered in soft leather and plush velvet surround ornate tables in the copper-tinted room that, after a couple martinis, you'll never want to leave.","","","","","","","","","","","","","","","","","","","Chicago, IL","","","","","","","","","","","","","","","","","","Gold Coast/Mag Mile/Streeterville","L","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1054","","","","","","","","","","","","","","","","160 E Pearson St","Ritz-Carlton Caf&#233;","","","","","","","","","","","","","","","","","312-573-5223","","","","","","","","","","","","","","","Gold Coast/Mag Mile/Streeterville","","","","","","","","","","","","","","","","","Bars","","El: Red to Chicago. Bus: 3, 4, X4, 10, 26, 125, 143, 144, 145, 146, 147, 151","","R","L","","Ritz-Carlton Caf&#233; This bar sits high above Michigan Ave, just north of the fountain in the 12th floor atrium lobby of the Ritz-Carlton. And as could be expected from a bar inside one of the city's most luxurious hotels, this place is swanksville. Chairs upholstered in soft leather and plush velvet surround ornate tables in the copper-tinted room that, after a couple martinis, you'll never want to leave. 160 E Pearson St between Michigan Ave and Mies van der Rohe Way (312-573-5223). El: Red to Chicago. Bus: 3, 4, X4, 10, 26, 125, 143, 144, 145, 146, 147, 151. . .","","","","","","","","","","","","","","","","","","","60611","","","","","","","","","","","","","","","","","","Ritz-Carlton Caf&#233;","","","","","","","","","","","","","","","","","","","fourseasons.com/chicagorc/dining/the_caf_.html"
"","","","","","","This new Lincoln Park pub is in the old Lindo Mexico place, but those in mourning can still get their quesadilla fix. You'd better get it now, though: This place is quickly morphing into a sports bar, and tequila and quesadillas might soon be replaced by Bud Light and burgers.","","","","","","","","","","","","","","","","","","","Chicago, IL","","","","","","","","","","","","","","","","","","Lincoln Park","H","","","","","","","","","","","","","","","Mon&#8211;Fri 5pm&#8211;2am; Sat 1pm&#8211;3am; Sun 1pm&#8211;2am","","","","","","","","","","","","","","","","1069","","","","","","","","","","","","","","","","2642 N Lincoln Ave","Chi-Town Tap","","","","","","","","","","","","","","","","","773-871-4832","","","","","","","","","","","","","","","Lincoln Park","Average beer: $3","","","","","","","","","","","","","","","","Pick-up joints","","El: Brown, Purple (rush hrs) to Diversey. Bus: 11, 76","","C","H","","Chi-Town Tap This new Lincoln Park pub is in the old Lindo Mexico place, but those in mourning can still get their quesadilla fix. You'd better get it now, though: This place is quickly morphing into a sports bar, and tequila and quesadillas might soon be replaced by Bud Light and burgers. 2642 N Lincoln Ave between Wrightwood and Seminary Aves (773-871-4832). El: Brown, Purple (rush hrs) to Diversey. Bus: 11, 76. Mon&#8211;Fri 5pm&#8211;2am; Sat 1pm&#8211;3am; Sun 1pm&#8211;2am. Average beer: $3.","","","","","","","","","","","","","","","","","","","60614","","","","","","","","","","","","","","","","","","Chi-Town Tap","Food servedPool tableVideo/pinball gamesDarts","","","","","","","","","","","","","","","","","",""
