"","","","","","","All of us have woken up on the weekend and wished that our favorite brunch spot could magically appear at our door. Well, now it can, thanks to this weekend delivery service that's taken over the kitchen of the Ukrainian Village's Darkroom nightclub. Choose from tasty quiches (the Lorraine is a good bet but the weekly special proves more interesting), ham-and-cheese-filled flaky croissants, French toast filled with various stuffings (cream cheese is our favorite), simple yogurt with granola and fresh-brewed Intelligentsia coffee. Add a copy of The New York Times and a dozen red roses and your breakfast-in-bed dreams come true.","Cheap (entrees under $10)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","Lakeview","","","","","","","","","","","","","","","","Breakfast, brunch (Sat, Sun)","","","","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","See www.123breakfast.com for delivery area","Ritter's Breakfast Delivery (CLOSED)","","","","","","","","","","","","","","","","","773-489-4700","","","","","","","","","","","","","","","","Average breakfast course: $7","","","","","","","","","","","","","","","","American","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$","Ritter's Breakfast Delivery (CLOSED)","","","Yes","","","","","9","Lakeview","","","","R","","Lakeview/Roscoe Village/Wrigleyville/North Center","","","","www.123breakfast.com",""
"","","","","","","Closed after fire.Authenticity is the M.O. of this Kedzie gem, and to that end the light, crispy falafel is made with fava beans (rather than chickpeas); the maqloba (an Egyptian dish resembling pureed spinach) is studded with bits of lamb and brought to life by a squeeze of lemon; and the kebabs are simple, tender and only made with Zabiha Halal meat. The Pakistani/Indian portion of the menu doesn't disappoint, either: The onion paratha is made to order and is just as flaky and flavorful as anything you'd get on Devon.","Cheap (entrees under $10)","Cash only","","","","","","","","","","","","","","","","","Chicago, IL","","","","","","","","","","","","","","","","Yes","","Northwest Side","","","","","","","","","","","","","","","","Lunch, dinner","","","","","","","","","","","","","","","","13","","","","","","","","","","","","","","","","4714-B N Kedzie Ave","City Noor (CLOSED)","","","","","","","","","","","","","","","","","773-267-6777","","","","","","","","","","","","","","","","Average main course: $7","","","","","","","","","","","","","","","","Middle Eastern","","El: Brown to Kedzie. Bus: 81, 82, 93","","","","","","","","","","","","","","","","","","","","","","","","60625","","","","","","","","","","","","","","","","","$","City Noor (CLOSED)","","","Yes","","","","","1","Northwest Side","","","","C","","","","","","",""
"","","","","","","This restaurant is now closed.When more than half of the folks running an Italian restaurant are Mexican, it's no surprise when they open up their own place next door. That's what happened at Bella Notte, whose adjacent private party space was recently turned into this tropical retreat, complete with murals designed to transport you to the Mexican seaside. The menu aims to do the same, with a focus on seafood and steaks lightened up with fruity salsas and tropical tubers, and a bar list of citrus-kissed cocktails.","","","","","","","","","","","","","","","","","","","Chicago, IL","","","","","","","","","","","","","","","","","","West Town","","","","","","","","","","","","","","","","Dinner","","","","","","","","","","","","","","","","18","","","","","","","","","","","","","","","","1372 W Grand Ave","El Paraiso (CLOSED)","","","","","","","","","","","","","","","","","312-432-9424","","","","","","","","","","","","","","","","Average main course: $15","","","","","","","","","","","","","","","","Mexican","","El: Blue to Chicago; Green, Pink to Ashland. Bus: 9, 65","","","","","","","","","","","","","","","","","","","","","","","","60622","","","","","","","","","","","","","","","","","$","El Paraiso (CLOSED)","","","Yes","","","","","15","Ukrainian Village/West Town","","","","E","","Ukrainian Village/West Town","","","","",""
"","","","","","","Next door to sibling Sushi Wabi, this modern Indian spot does a nice job updating the fiery cuisine with snazzy street snacks (try the fried banana peppers stuffed with lentils and paneer) and cocktails (the gingery, cumin-laced margarita and the cardamom-packed &#34;Bengali Tiger&#34; are delicious). Heat-seekers should request extra fire with classics like chicken tikka masala and lamb rogan josh, while those looking for something new will find it with the juicy tamarind-date glazed chicken or garlicky shrimp salad.","Vegetarian-friendlyOutdoor seating","","","","","","","","","","","","","","","","","","Chicago, IL","","","","","","","","","","","","","","","","Yes","","West Loop","","","","","","","","","","","","","","","","Lunch (Friday only), dinner","","","","","","","","","","","","","","","","1002","","","","","","","","","","","","","","","","844 W Randolph St","Veerasway","","","","","","","","","","","","","","","","","312-491-0844","","","","","","","","","","","","","","","","Average main course: $15","","","","","","","","","","","","","","","","Indian/Pakistani","","El: Green, Pink to Clinton. Bus: 8, 20","","","","","","","","","","","","","","","","","","","","","","","","60607","","","","","","","","","","","","","","","","","$","Veerasway","","","","","","","","19","Loop/West Loop","","","","V","","","","70","","www.veerasway.com",""
"","","","","","","Modern-day Turkey isn't the idea here, so if you're looking for contemporary Istanbul, get a plane ticket. This dining room hearkens to times of eating on luxurious floor cushions and sucking on hookahs like they're Tic Tacs. You can make a meal out of the hot appetizer platter&#8212;thin zucchini pancakes, tangy rolls of feta-stuffed phyllo and the Turkish pizza, a housemade pita piled with perfectly seasoned ground lamb. Or fill up on the A La Turka special: saut&#233;ed beef and grilled vegetables served with a slightly sweet eggplant puree. Either way the portions are sized for big appetites, so you won't leave hungry.","Good for groupsVegetarian-friendlyLate-night diningPrivate party room(s)Cheap (entrees under $10)","","","","","","","","","","","","","","","","","","Chicago, IL","","","","","","","","","","","","","","","","","","Lakeview","","","","","","","","","","","","","","","","Lunch (Wed&#8211;Sun), Dinner","","","","","","","","","","","","","","","","1004","","","","","","","","","","","","","","","","3134 N Lincoln Ave","A La Turka","","","","","","","","","","","","","","","","","773-935-6101","","","","","","","","","","","","","","","","Average main course: $15","","","","","","","","","","","","","","","","Middle Eastern","","El: Brown to Paulina. Bus: 9, 11, 77","","","","","","","","","","","","","","","","","","","","","","","","60657","","","","","","","","","","","","","","","","","$","A La Turka","Classics","","","","","","","9","Lakeview","","","","A","","Lakeview/Roscoe Village/Wrigleyville/North Center","","101","","www.turkishkitchen.us",""
"","","","","","","This tiny Ukrainian Village dining room is tight on tables and menu items&#8212;there are about a dozen of each&#8212;but what it lacks in size is made up for with charm. The simple Italian fare has absolutely no bells or whistles, but, luckily, most dishes don't need any. A duo of meaty mushrooms&#8212;perfectly roasted portobello and saut&#233;ed oyster&#8212;is dressed only with balsamic and thyme. For more intricate dishes, look to seasonal specialties like juniper and clove&#8211;braised pork shanks over Tuscan white beans, or grilled marinated leg of lamb with roasted parsnip puree and toasted garlic spinach. ","Notable wine listVegetarian-friendlyOutdoor seating","","","","","","","","","","","","","","","","","","Chicago, IL","","","","","","","","","","","","","","","","Yes","","Ukrainian Village","","","","","","","","","","","","","","","","Dinner (closed Sun)","","","","","","","","","","","","","","","","1005","","","","","","","","","","","","","","","","2148 W Chicago Ave","A Tavola","","","","","","","","","","","","","","","","","773-276-7567","","","","","","","","","","","","","","","","Average main course: $23","","","","","","","","","","","","","","","","Italian/Pizza","","Bus: 49, 50, 66","","","","","","","","","","","","","","","","","","","","","","","","60622","","","","","","","","","","","","","","","","","$$","A Tavola","Hidden Gems","","","","","","","15","Ukrainian Village/West Town","","","","A","","","","71","","atavolachicago.com",""
"","","","","","","","Cheap (entrees under $10)","","","","","","","","","","","","","","","","","","Chicago, IL","","","","","","","","","","","","","","","","","","Lakeview","","","","","","","","","","","","","","","","Lunch, dinner (closed Sun)","","","","","","","","","","","","","","","","1007","","","","","","","","","","","","","","","","1825 W Irving Park Rd","Always Thai","","","","","","","","","","","","","","","","","773-929-0100","","","","","","","","","","","","","","","","Average main course: $6","","","","","","","","","","","","","","","","Thai","","El: Brown to Irving Park. Bus: 80, x80","","","","","","","","","","","","","","","","","","","","","","","","60613","","","","","","","","","","","","","","","","","$","Always Thai","Classics","","","","","","","9","Lakeview","","","","","","","","","","",""
"","","","","","","Like a Zen koan shocking the mind into enlightenment, this Korean vegan restaurant (formerly located on Southport) is an awakening&#8212;for vegans, vegetarians and carnivores alike&#8212;to how delicious a meatless, eggless, dairy-free meal can be. Supposedly employing &#34;Zen meditation cooking energy,&#34; chefs whip up everything from vegan dumplings, organic veggies and noodle soups to spicy curry and tofu dishes. Several flavors of vegan ice cream like cappuccino, green tea and plum are available in warmer months.","Good for groupsCheap (entrees under $10)Vegetarian-friendly","","","","","","","","","","","","","","","","","","Chicago, IL","","","","","","","","","","","","","","","","","","Northwest Side","","","","","","","","","","","","","","","","Lunch, dinner (closed Sun, Mon)","","","","","","","","","","","","","","","","1010","","","","","","","","","","","","","","","","6207 N Milwaukee Ave","Amitabul","","","","","","","","","","","","","","","","","773-774-0276","","","","","","","","","","","","","","","","Average main course: $10","","","","","","","","","","","","","","","","Vegetarian","Korean","Bus: 56A, Pace 270","","","","","","","","","","","","","","","","","","","","","","","","60646","","","","","","","","","","","","","","","","","$","Amitabul","","","","","","","","1","Northwest Side","","","","A","","","","129","","http://www.amitabul.getwebnet.com/",""
"","","","","","","With a kitchen full of Moroccan women churning out countless specialties from their homeland, it's easy to forgive a few pitfalls. But order the right dishes and you won't have to. The briwates (Morocco's answer to the egg roll) are fine, but the Andalous combo, a slew of appetizers that includes silky spinach packed with cumin and lemon, is sublime. The &#34;famous couscous&#34; left us lukewarm and wondering just how it earned its moniker, but the chicken in the meknes tagine falls from the bone, crusted in impossibly crispy skin. And just when your plate has been cleaned and it's time to leave, a steaming cup of Moroccan tea steps in, giving you a good excuse to linger.","BYOBVegetarian-friendlyOutdoor seating","","","","","","","","","","","","","","","","","","Chicago, IL","","","","","","","","","","","","","","","","","","Lakeview","","","","","","","","","","","","","","","","Lunch (Sat, Sun), dinner","","","","","","","","","","","","","","","","1011","","","","","","","","","","","","","","","","3307 N Clark St","Andalous","","","","","","","","","","","","","","","","","773-281-6885","","","","","","","","","","","","","","","","Average main course: $11","","","","","","","","","","","","","","","","Middle Eastern","African","El: Brown, Purple (rush hrs), Red to Belmont. Bus: 22, 77","","","","","","","","","","","","","","","","","","","","","","","","60657","","","","","","","","","","","","","","","","","$","Andalous","","","","","","","","9","Lakeview","","","","A","","","","","","www.andalous.com",""
"","","","","","","You know those Italian places you see in the movies? Those charming neighborhood joints where the walls are lined with empty bottles of wine (most of them baring messages of thanks from customers past) and the room has a constant candlelit glow? The kind where the menu isn't a revelation, but the big portions of food are hearty and delicious? Where herbaceous spinach lasagna and savory eggplant parmigiana pull in regulars who've been coming &#34;for years&#34;? Yeah, this place is exactly like that.","Vegetarian-friendly","","","","","","","","","","","","","","","","","","Chicago, IL","","","","","","","","","","","","","","","","","","Lakeview","","","","","","","","","","","","","","","","Brunch (Sun), dinner","","","","","","","","","","","","","","","","1012","","","","","","","","","","","","","","","","3561 N Broadway","Angelina","","","","","","","","","","","","","","","","","773-935-5933","","","","","","","","","","","","","","","","Average main course: $16","","","","","","","","","","","","","","","","Italian/Pizza","","El: Red to Addison. Bus: 36, 146, 151, 152","","","","","","","","","","","","","","","","","","","","","","","","60657","","","","","","","","","","","","","","","","","$$","Angelina","","","","","","","","9","Lakeview","","","","A","","","","","","www.angelinaristorante.com",""
