
DATE,CITY,Around Town,Art,Eating & Drinking,Film,Music,Nightlife,Stage,PROVIDED,NEW,EXISTING
2010-06-17,Almaty,0,0,0,111,0,0,0,111,111,0
2010-06-17,Chicago,0,0,0,260,0,0,0,260,260,0
2010-06-17,Kuala_lumpur,0,0,0,3,0,0,0,3,3,0
2010-06-17,Lisbon,0,0,0,50,0,0,0,50,50,0
2010-06-17,London,0,0,0,704,0,0,0,704,704,0
2010-06-17,Moscow,0,0,0,289,0,0,0,289,289,0
2010-06-17,Ny,0,0,0,248,0,0,0,248,248,0
2010-06-17,Saint_petersburg,0,0,0,163,0,0,0,163,163,0
2010-06-17,Singapore,0,0,0,73,0,0,0,73,73,0
2010-06-17,Sydney,0,0,0,172,0,0,0,172,172,0
2010-06-18,Almaty,0,0,0,5,0,0,0,117,5,111
2010-06-18,Chicago,0,0,0,4,0,0,0,264,4,260
2010-06-18,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-06-18,Lisbon,0,0,0,2,0,0,0,52,2,50
2010-06-18,London,0,0,0,7,0,0,0,711,7,704
2010-06-18,Moscow,0,0,0,17,0,0,0,299,17,289
2010-06-18,Ny,0,0,0,4,0,0,0,252,4,248
2010-06-18,Saint_petersburg,0,0,0,14,0,0,0,182,14,163
2010-06-18,Singapore,0,0,0,1,0,0,0,74,1,73
2010-06-18,Sydney,0,0,0,0,0,0,0,172,0,172
2010-06-19,Almaty,0,0,0,4,0,0,0,121,4,116
2010-06-19,Chicago,0,0,0,1,0,0,0,265,1,264
2010-06-19,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-06-19,Lisbon,0,0,0,0,0,0,0,52,0,52
2010-06-19,London,0,0,0,7,0,0,0,718,7,711
2010-06-19,Moscow,0,0,0,45,0,0,0,344,45,306
2010-06-19,Ny,0,0,0,6,0,0,0,258,6,252
2010-06-19,Saint_petersburg,0,0,0,23,0,0,0,205,23,177
2010-06-19,Singapore,0,0,0,0,0,0,0,74,0,74
2010-06-19,Sydney,0,0,0,0,0,0,0,172,0,172
2010-06-20,Almaty,0,0,0,4,0,0,0,125,4,120
2010-06-20,Chicago,0,0,0,1,0,0,0,266,1,265
2010-06-20,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-06-20,Lisbon,0,0,0,0,0,0,0,52,0,52
2010-06-20,London,0,0,0,0,0,0,0,718,0,718
2010-06-20,Moscow,0,0,0,19,0,0,0,362,19,351
2010-06-20,Ny,0,0,0,4,0,0,0,262,4,258
2010-06-20,Saint_petersburg,0,0,0,16,0,0,0,222,16,200
2010-06-20,Singapore,0,0,0,0,0,0,0,74,0,74
2010-06-20,Sydney,0,0,0,0,0,0,0,172,0,172
2010-06-21,Almaty,0,0,0,4,0,0,0,129,4,124
2010-06-21,Chicago,0,0,0,1,0,0,0,267,1,266
2010-06-21,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-06-21,Lisbon,0,0,0,0,0,0,0,52,0,52
2010-06-21,London,0,0,0,0,0,0,0,718,0,718
2010-06-21,Moscow,0,0,0,19,0,0,0,381,19,370
2010-06-21,Ny,0,0,0,0,0,0,0,262,0,262
2010-06-21,Saint_petersburg,0,0,0,16,0,0,0,238,16,216
2010-06-21,Singapore,0,0,0,0,0,0,0,74,0,74
2010-06-21,Sydney,0,0,0,0,0,0,0,172,0,172
2010-06-22,Almaty,0,0,0,4,0,0,0,133,4,128
2010-06-22,Chicago,0,0,0,1,0,0,0,268,1,267
2010-06-22,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-06-22,Lisbon,0,0,0,0,0,0,0,52,0,52
2010-06-22,London,0,0,0,3,0,0,0,721,3,718
2010-06-22,Moscow,0,0,0,19,0,0,0,400,19,389
2010-06-22,Ny,0,0,0,0,0,0,0,262,0,262
2010-06-22,Saint_petersburg,0,0,0,16,0,0,0,254,16,232
2010-06-22,Singapore,0,0,0,0,0,0,0,74,0,74
2010-06-22,Sydney,0,0,0,0,0,0,0,172,0,172
2010-06-24,Almaty,0,0,0,0,0,0,0,133,0,132
2010-06-24,Barcelona,0,0,0,105,0,0,0,105,105,0
2010-06-24,Chicago,0,0,0,2,0,0,0,270,2,268
2010-06-24,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-06-24,Lisbon,0,0,0,0,0,0,0,52,0,52
2010-06-24,London,0,0,0,4,0,0,0,725,4,721
2010-06-24,Moscow,0,0,0,15,0,0,0,415,15,408
2010-06-24,Ny,0,0,0,23,0,0,0,285,23,262
2010-06-24,Saint_petersburg,0,0,0,5,0,0,0,259,5,248
2010-06-24,Singapore,0,0,0,0,0,0,0,74,0,74
2010-06-24,Sydney,0,0,0,0,0,0,0,172,0,172
2010-06-25,Almaty,0,0,0,0,0,0,0,133,0,132
2010-06-25,Barcelona,0,0,0,6,0,0,0,111,6,105
2010-06-25,Chicago,0,0,0,8,0,0,0,278,8,270
2010-06-25,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-06-25,Lisbon,0,0,0,2,0,0,0,54,2,52
2010-06-25,London,0,0,0,27,0,0,0,752,27,725
2010-06-25,Moscow,0,0,0,18,0,0,0,435,18,423
2010-06-25,Ny,0,0,0,5,0,0,0,290,5,285
2010-06-25,Saint_petersburg,0,0,0,19,0,0,0,276,19,253
2010-06-25,Singapore,0,0,0,0,0,0,0,74,0,74
2010-06-25,Sydney,0,0,0,0,0,0,0,172,0,172
2010-06-26,Almaty,0,0,0,0,0,0,0,133,0,132
2010-06-26,Barcelona,0,0,0,9,0,0,0,120,9,111
2010-06-26,Chicago,0,0,0,3,0,0,0,281,3,278
2010-06-26,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-06-26,Lisbon,0,0,0,4,0,0,0,58,4,54
2010-06-26,London,0,0,0,10,0,0,0,762,10,752
2010-06-26,Moscow,0,0,0,37,0,0,0,472,37,441
2010-06-26,Ny,0,0,0,6,0,0,0,296,6,290
2010-06-26,Saint_petersburg,0,0,0,25,0,0,0,301,25,272
2010-06-26,Singapore,0,0,0,0,0,0,0,74,0,74
2010-06-26,Sydney,0,0,0,0,0,0,0,172,0,172
2010-06-27,Almaty,0,0,0,0,0,0,0,133,0,132
2010-06-27,Barcelona,0,0,0,0,0,0,0,120,0,120
2010-06-27,Chicago,0,0,0,2,0,0,0,283,2,281
2010-06-27,Kuala_lumpur,0,0,0,0,0,0,0,3,0,3
2010-06-27,Lisbon,0,0,0,0,0,0,0,58,0,58
