
DATE,CITY,Around Town,Art,Eating & Drinking,Film,Music,Nightlife,Stage,PROVIDED,NEW,EXISTING,NOCAT
2010-06-17,Almaty,1227,30,417,20,2,106,32,1834,1834,0,0
2010-06-17,Chicago,603,145,378,22,139,1027,203,2517,2517,0,0
2010-06-17,Kuala_lumpur,263,52,337,7,10,47,8,724,724,0,0
2010-06-17,Lisbon,84,69,91,0,8,161,38,451,451,0,0
2010-06-17,London,485,146,1134,110,281,622,253,3031,3031,0,0
2010-06-17,Moscow,5291,234,3518,159,3,634,298,10137,10137,0,0
2010-06-17,Ny,348,95,2751,24,168,1033,209,4628,4628,0,0
2010-06-17,Saint_petersburg,1764,162,1243,54,3,364,78,3668,3668,0,0
2010-06-17,Singapore,364,67,295,21,36,110,12,905,905,0,0
2010-06-17,Sydney,614,127,589,29,0,361,33,2032,1753,0,279
2010-06-18,Almaty,0,0,0,0,0,0,0,1834,0,1834,0
2010-06-18,Chicago,0,0,0,0,0,0,0,2517,0,2517,0
2010-06-18,Kuala_lumpur,0,0,0,0,0,0,0,724,0,724,0
2010-06-18,Lisbon,0,0,0,0,0,0,0,451,0,451,0
2010-06-18,London,6,4,1,1,10,0,1,3050,23,3031,0
2010-06-18,Moscow,0,0,0,0,0,0,0,10137,0,10137,0
2010-06-18,Ny,0,0,0,0,0,0,0,4627,0,4628,0
2010-06-18,Saint_petersburg,1,0,4,0,0,1,0,3673,6,3668,0
2010-06-18,Singapore,0,0,1,0,0,0,0,906,1,905,0
2010-06-18,Sydney,0,0,0,0,0,0,0,2032,0,1753,279
2010-06-19,Almaty,0,0,0,0,0,0,0,1834,0,1834,0
2010-06-19,Chicago,0,1,0,0,0,0,0,2518,1,2517,0
2010-06-19,Kuala_lumpur,0,0,0,0,0,0,0,724,0,724,0
2010-06-19,Lisbon,0,0,0,0,0,0,0,451,0,451,0
2010-06-19,London,0,0,0,0,3,1,1,3055,5,3054,0
2010-06-19,Moscow,0,0,0,0,0,0,0,10137,0,10137,0
2010-06-19,Ny,0,0,0,0,0,0,0,4627,0,4628,0
2010-06-19,Saint_petersburg,1,0,2,0,0,0,0,3674,3,3674,0
2010-06-19,Singapore,0,0,0,0,0,0,0,906,0,906,0
2010-06-19,Sydney,0,0,0,0,0,0,0,2032,0,1753,279
2010-06-20,Almaty,0,0,0,0,0,0,0,1834,0,1834,0
2010-06-20,Chicago,0,0,0,0,0,0,0,2518,0,2518,0
2010-06-20,Kuala_lumpur,0,0,0,0,0,0,0,724,0,724,0
2010-06-20,Lisbon,0,0,0,0,0,0,0,451,0,451,0
2010-06-20,London,7,0,0,0,0,0,0,3061,7,3059,0
2010-06-20,Moscow,0,0,0,0,0,0,0,10137,0,10137,0
2010-06-20,Ny,0,0,0,0,0,0,0,4627,0,4628,0
