"Date","High","Low","High2","Low2","High3","Low3"
20070101,62,39,62,42,55,42
20070102,62,44,62,39,57,39
20070103,62,42,62,48,55,48
20070104,57,45,57,44,57,44
20070105,54,44,54,39,53,39
20070106,55,36,55,37,53,37
20070107,62,45,62,37,54,37
20070108,66,48,66,39,61,39
20070109,63,39,63,43,66,43
20070110,57,37,57,48,70,48
20070111,50,37,50,53,68,53
20070112,48,35,48,46,69,46
20070113,48,30,48,51,62,51
20070114,48,28,48,46,61,46
20070115,53,28,53,45,60,45
20070116,50,30,50,46,68,46
20070117,57,37,57,48,79,48
20070118,61,33,61,52,80,52
20070119,55,35,55,53,73,53
20070120,61,35,61,48,64,48
20070121,64,43,64,46,78,46
20070122,61,36,61,50,78,50
20070123,57,35,57,51,62,51
20070124,60,35,60,46,66,46
20070125,55,39,55,48,64,48
20070126,54,44,54,48,60,48
20070127,57,48,57,46,66,46
20070128,59,45,59,43,73,43
20070129,63,45,63,48,78,48
20070130,59,41,59,48,68,48
20070131,55,48,55,53,64,53
20070201,53,46,53,48,66,48
20070202,55,44,55,46,57,46
20070203,59,37,59,42,66,42
20070204,66,39,66,42,73,42
20070205,64,43,64,46,72,46
20070206,61,46,61,46,69,46
20070207,61,51,61,46,64,46
20070208,60,51,60,46,69,46
20070209,61,55,61,46,71,46
20070210,62,55,62,50,69,50
20070211,61,46,61,52,71,52
20070212,59,43,59,52,64,52
20070213,57,46,57,51,68,51
20070214,61,39,61,51,71,51
20070215,64,44,64,50,66,50
20070216,71,46,71,46,72,46
20070217,73,51,73,50,63,50
20070218,60,46,60,46,64,46
20070219,63,44,63,44,70,44
20070220,57,45,57,51,57,51
20070221,59,48,59,46,68,46
20070222,55,44,55,46,75,46
20070223,55,42,55,48,62,48
20070224,57,39,57,45,61,45
20070225,55,48,55,42,57,42
20070226,57,44,57,46,64,46
20070227,53,39,53,43,61,43
20070228,53,37,53,48,63,48
20070301,54,37,54,44,70,44
20070302,61,39,61,46,66,46
20070303,66,43,66,48,66,48
20070304,70,48,70,48,69,48
20070305,68,53,68,50,82,50
20070306,69,46,69,55,81,55
20070307,62,51,62,53,70,53
20070308,61,46,61,51,77,51
20070309,60,45,60,48,70,48
20070310,68,46,68,52,66,52
20070311,79,48,79,48,63,48
20070312,80,52,80,51,64,51
20070313,73,53,73,46,73,46
20070314,64,48,64,54,88,54
20070315,78,46,78,57,91,57
20070316,78,50,78,60,84,60
20070317,62,51,62,55,73,55
20070318,66,46,66,52,57,52
20070319,64,48,64,51,64,51
20070320,60,48,60,50,64,50
20070321,66,46,66,46,72,46
20070322,73,43,73,50,66,50
20070323,78,48,78,51,63,51
20070324,68,48,68,48,70,48
20070325,64,53,64,50,68,50
20070326,66,48,66,50,73,50
20070327,57,46,57,52,70,52
20070328,66,42,66,51,73,51
20070329,73,42,73,54,78,54
20070330,72,46,72,51,81,51
20070331,69,46,69,55,86,55
20070401,64,46,64,55,78,55
20070402,69,46,69,54,69,54
20070403,71,46,71,55,69,55
20070404,69,50,69,54,69,54
20070405,71,52,71,52,73,52
20070406,64,52,64,53,69,53
20070407,68,51,68,55,66,55
20070408,71,51,71,54,64,54
20070409,66,50,66,54,66,54
20070410,72,46,72,54,64,54
20070411,63,50,63,55,70,55
20070412,64,46,64,59,73,59
20070413,70,44,70,55,68,55
20070414,57,51,57,53,70,53
20070415,68,46,68,51,75,51
20070416,75,46,75,50,70,50
20070417,62,48,62,53,75,53
20070418,61,45,61,55,75,55
20070419,57,42,57,53,75,53
20070420,64,46,64,52,79,52
20070421,61,43,61,59,90,59
20070422,63,48,63,60,89,60
20070423,70,44,70,59,86,59
20070424,66,46,66,55,72,55
20070425,66,48,66,53,79,53
20070426,69,48,69,57,79,57
20070427,82,50,82,55,73,55
20070428,81,55,81,55,71,55
20070429,70,53,70,55,77,55
20070430,77,51,77,54,79,54
20070501,70,48,70,54,77,54
20070502,66,52,66,53,77,53
20070503,63,48,63,53,82,53
20070504,64,51,64,54,71,54
20070505,73,46,73,55,73,55
20070506,88,54,88,57,73,57
20070507,91,57,91,60,77,60
20070508,84,60,84,54,75,54
20070509,73,55,73,54,78,54
20070510,57,52,57,57,82,57
20070511,64,51,64,57,72,57
20070512,64,50,64,59,84,59
20070513,72,46,72,61,84,61
20070514,66,50,66,60,75,60
20070515,63,51,63,55,73,55
20070516,70,48,70,55,78,55
20070517,68,50,68,57,73,57
20070518,73,50,73,59,73,59
20070519,70,52,70,62,78,62
20070520,73,51,73,59,75,59
20070521,78,54,78,60,79,60
20070522,81,51,81,60,73,60
20070523,86,55,86,62,78,62
20070524,78,55,78,59,75,59
20070525,69,54,69,60,77,60
20070526,69,55,69,63,75,63
20070527,69,54,69,59,80,59
20070528,73,52,73,59,79,59
20070529,69,53,69,61,77,61
20070530,66,55,66,63,75,63
20070531,64,54,64,64,79,64
20070601,66,54,66,61,73,61
20070602,64,54,64,57,72,57
20070603,70,55,70,60,75,60
20070604,73,59,73,60,78,60
20070605,68,55,68,57,77,57
20070606,70,53,70,57,73,57
20070607,75,51,75,59,80,59
20070608,70,50,70,59,75,59
20070609,75,53,75,59,75,59
20070610,75,55,75,60,73,60
20070611,75,53,75,60,79,60
20070612,79,52,79,59,77,59
20070613,90,59,90,57,71,57
20070614,89,60,89,59,71,59
20070615,86,59,86,57,73,57
20070616,72,55,72,55,71,55
20070617,79,53,79,60,77,60
20070618,79,57,79,57,77,57
20070619,73,55,73,57,73,57
20070620,71,55,71,55,72,55
20070621,77,55,77,55,75,55
20070622,79,54,79,55,73,55
20070623,77,54,77,57,75,57
20070624,77,53,77,60,79,60
20070625,82,53,82,55,80,55
20070626,71,54,71,57,78,57
20070627,73,55,73,55,77,55
20070628,73,57,73,64,80,64
20070629,77,60,77,62,82,62
20070630,75,54,75,60,82,60
20070701,78,54,78,57,82,57
20070702,82,57,82,59,78,59
20070703,72,57,72,61,73,61
20070704,84,59,84,61,73,61
20070705,84,61,84,59,78,59
20070706,75,60,75,62,86,62
20070707,73,55,73,68,88,68
20070708,78,55,78,68,90,68
20070709,73,57,73,66,80,66
20070710,73,59,73,62,87,62
20070711,78,62,78,61,89,61
20070712,75,59,75,61,78,61
20070713,79,60,79,63,78,63
20070714,73,60,73,57,89,57
20070715,78,62,78,64,82,64
20070716,75,59,75,61,75,61
20070717,77,60,77,62,73,62
20070718,75,63,75,61,71,61
20070719,80,59,80,59,73,59
20070720,79,59,79,59,71,59
20070721,77,61,77,60,72,60
20070722,75,63,75,57,77,57
20070723,79,64,79,60,75,60
20070724,73,61,73,57,73,57
20070725,72,57,72,61,72,61
20070726,75,60,75,55,72,55
20070727,78,60,78,55,73,55
20070728,77,57,77,55,66,55
20070729,73,57,73,52,71,52
20070730,80,59,80,57,77,57
20070731,75,59,75,57,64,57
20070801,75,59,75,55,68,55
20070802,73,60,73,52,78,52
20070803,79,60,79,53,84,53
20070804,77,59,77,57,87,57
20070805,71,57,71,55,75,55
20070806,71,59,71,54,66,54
20070807,73,57,73,52,73,52
20070808,71,55,71,48,75,48
20070809,77,60,77,57,71,57
20070810,77,57,77,53,81,53
20070811,73,57,73,54,73,54
20070812,72,55,72,55,69,55
20070813,75,55,75,50,64,50
20070814,73,55,73,45,73,45
20070815,75,57,75,46,77,46
20070816,79,60,79,53,79,53
20070817,80,55,80,53,72,53
20070818,78,57,78,54,69,54
20070819,77,55,77,48,70,48
20070820,80,64,80,54,64,54
20070821,82,62,82,53,70,53
20070822,82,60,82,51,66,51
20070823,82,57,82,52,68,52
20070824,78,59,78,52,66,52
20070825,73,61,73,50,66,50
20070826,73,61,73,50,73,50
20070827,78,59,78,57,72,57
20070828,86,62,86,54,66,54
20070829,88,68,88,51,73,51
20070830,90,68,90,51,81,51
20070831,80,66,80,53,84,53
20070901,87,62,87,55,79,55
20070902,89,61,89,53,66,53
20070903,78,61,78,46,68,46
